name,address,city,state,zip_code,latitude,longitude,Discription,Accessible,Smooth,Elivators,Ramps,Sound,Brail,SightImpared,Bathrooms,single-entrance
Telephone Pioneers of America Park,1946 West Morningside Drive,Phoenix,AZ,85023,33.649235,-112.101764,"In addition to the fully accessible playground, the park features a therapeutic pool, wheelchair accessible sports courts and beep baseball fields for those who are visually impaired.",True,True,True,False,True,False,False,True,False
Gompers Habilitation Center,6601 North 27th Avenue,Phoenix,AZ,85017,33.533637,-112.116,"The playground includes swings, slides, chin-up bars, components that click, rattle and rotate all provide physical, auditory and tactile stimulation. There are ramps, but also stair so children with mobility ability have an opportunity to use their large muscles in their arms and legs.",True,True,True,True,True,False,False,True,False
Thompson Middle School,1509 Kent Dairy Road,Alabaster,AL,35007,33.2152508,-86.8374155,,True,True,True,False,True,False,False,True,False
Ryan Gray Playground For All Children,1045 Hilltop Drive,Lawrence,KS,66044,38.96548,-95.258518,,True,True,True,False,True,False,False,True,False
EdmundChief,1000 Elmwood Avenue,Northampton,PA,18067,41.78752,-71.416692,"Children with physical disabilities can enjoy at least 70% of the play activities without having to leave their support equipment behind. It is designed to be sensory rich and developmentally appropriate for children with all types of abilities.  There is also a 3,500 square foot sensory garden which houses over 500 plants.",True,False,True,False,True,False,False,True,False
CVS Caremark Boundless Playground,1000 Eddy Street,Providence,RI,2905,41.800385,-71.405671,,True,True,True,False,True,False,False,True,False
Globe Park Elementary,192 Avenue A,Woonsocket,RI,2895,41.9888639,-71.5245018,"The playground was built for those with physical disabilities, sensory issues, visual impairments, deafness, or cognitive delays.  It includes  jungle gym, swings, see-saw.",True,True,True,False,True,False,True,True,False
Cedar Creek Park,Cedar Creek Road,Allentown,PA,18194,40.5933425,-75.5076944,Tthe largest playground with the greatest number of multi-use features within a 100 mile radius.  The playground will also be accessible to children with disabilities and includes NEOS electronic playsystems.,True,True,True,False,True,False,False,True,False
North Park,South Ridge Drive,Allinson Park,PA,15101,40.5877642,-79.9892594,"The playground features double-wide ramps, specialized swings, handle bars, climbing walls and platforms capable of accommodating two passing wheelchairs.",True,True,True,True,True,False,False,True,False
Boyertown Rotary's Playground  for Everyone ,Madison Street,Englesville,PA,19512,40.325387,-75.632844,,True,True,True,True,True,False,False,True,False
McCullough's Dream,213 Watt Road,Claridge,PA,15623,40.3622491,-79.6304607,,True,True,True,False,True,False,False,True,False
McHale Park,1414 Monroe Avenue,Dunmore,PA,18509,41.4208804,-75.6419356,,True,True,True,False,True,False,False,True,False
